Index,EKG
1,94
2,101
3,102
4,100
5,94
6,88
7,80
8,70
9,58
10,47
11,38
12,34
13,34
14,38
15,43
16,49
17,54
18,60
19,65
20,69
21,72
22,73
23,72
24,68
25,63
26,57
27,58
28,75
29,117
30,196
31,316
32,471
33,643
34,792
35,873
36,849
37,712
38,488
39,234
40,12
41,-134
42,-192
43,-182
44,-136
45,-84
46,-43
47,-18
48,-6
49,-5
50,-7
51,-11
52,-13
53,-14
54,-15
55,-18
56,-21
57,-24
58,-25
59,-25
60,-24
61,-21
62,-16
63,-8
64,3
65,16
66,27
67,35
68,41
69,45
70,46
71,45
72,42
73,40
74,39
75,40
76,46
77,55
78,68
79,83
80,98
81,110
82,119
83,123
84,125
85,127
86,128
87,129
88,129
89,127
90,123
91,116
92,107
93,95
94,81
95,64
96,46
97,28
98,13
99,1
100,-7
101,-12
102,-16
103,-18
104,-22
105,-27
106,-34
107,-44
108,-55
109,-66
110,-74
111,-80
112,-84
113,-89
114,-94
115,-100
116,-105
117,-107
118,-107
119,-105
120,-103
121,-101
122,-98
123,-93
124,-88
125,-81
126,-75
127,-70
128,-67
129,-66
130,-64
131,-60
132,-51
133,-40
134,-29
135,-21
136,-15
137,-12
138,-9
139,-6
140,-4
141,-4
142,-7
143,-12
144,-19
145,-25
146,-29
147,-30
148,-27
149,-24
150,-24
151,-28
152,-37
153,-49
154,-60
155,-65
156,-62
157,-52
158,-39
159,-26
160,-17
161,-12
162,-10
163,-10
164,-11
165,-12
166,-12
167,-9
168,-1
169,10
170,23
171,35
172,42
173,45
174,44
175,41
176,37
177,34
178,28
179,21
180,12
181,4
182,-2
183,-5
184,-3
185,1
186,5
187,7
188,10
189,13
190,17
191,18
192,17
193,12
194,3
195,-7
196,-11
197,-1
198,32
199,97
200,199
201,336
202,497
203,654
204,766
205,791
206,706
207,519
208,271
209,22
210,-170
211,-279
212,-307
213,-282
214,-236
215,-194
216,-165
217,-151
218,-148
219,-153
220,-159
221,-161
222,-156
223,-146
224,-134
225,-121
226,-108
227,-95
228,-83
229,-71
230,-60
231,-49
232,-36
233,-20
234,-2
235,16
236,34
237,49
238,61
239,70
240,77
241,81
242,84
243,87
244,93
245,102
246,111
247,119
248,126
249,133
250,142
251,151
252,158
253,163
254,164
255,162
256,158
257,152
258,146
259,139
260,132
261,123
262,114
263,101
264,86
265,68
266,47
267,26
268,5
269,-14
270,-31
271,-46
272,-60
273,-73
274,-87
275,-100
276,-113
277,-124
278,-134
279,-140
280,-144
281,-144
282,-142
283,-137
284,-130
285,-124
286,-117
287,-113
288,-108
289,-104
290,-100
291,-98
292,-95
293,-93
294,-91
295,-90
296,-89
297,-91
298,-94
299,-98
300,-102
301,-106
302,-109
303,-112
304,-114
305,-117
306,-119
307,-122
308,-124
309,-127
310,-129
311,-130
312,-130
313,-128
314,-123
315,-117
316,-112
317,-109
318,-107
319,-105
320,-104
321,-101
322,-97
323,-90
324,-84
325,-77
326,-72
327,-69
328,-69
329,-70
330,-73
331,-75
332,-74
333,-71
334,-66
335,-60
336,-56
337,-54
338,-54
339,-56
340,-60
341,-65
342,-71
343,-77
344,-81
345,-82
346,-82
347,-80
348,-77
349,-73
350,-67
351,-60
352,-55
353,-51
354,-51
355,-52
356,-55
357,-58
358,-63
359,-68
360,-75
361,-80
362,-76
363,-53
364,-2
365,86
366,213
367,370
368,536
369,669
370,727
371,680
372,529
373,306
374,67
375,-131
376,-255
377,-301
378,-293
379,-259
380,-222
381,-190
382,-167
383,-151
384,-140
385,-131
386,-123
387,-116
388,-108
389,-102
390,-96
391,-90
392,-85
393,-80
394,-74
395,-68
396,-61
397,-51
398,-38
399,-21
400,-3
401,14
402,28
403,37
404,45
405,51
406,57
407,65
408,75
409,85
410,94
411,99
412,102
413,101
414,99
415,95
416,92
417,91
418,93
419,97
420,100
421,102
422,99
423,91
424,78
425,62
426,43
427,26
428,11
429,-2
430,-13
431,-24
432,-35
433,-47
434,-58
435,-68
436,-79
437,-90
438,-100
439,-108
440,-113
441,-116
